configuration,seed,test_mse,d_relative_error,v_relative_error,alpha_absolute_error,pde_residual,seconds
data_only,17,0.0011373094748705626,0.37352922724352955,0.6666666741172472,0.027909103035926808,0.009445371106266975,0.6534297999987757
data_only,29,0.0008458949159830809,0.37352922724352955,0.6666666741172472,0.024252089858055104,0.00821639969944954,0.43997250000029453
data_only,43,0.0012080754386261106,0.37352922724352955,0.6666666741172472,0.024681854248046864,0.03125607594847679,0.4497531999986677
data_pde,17,0.0011316767195239663,0.540114585724142,0.5895365563531717,0.027842286229133595,0.00447462871670723,1.3099718000012217
data_pde,29,0.0008724223589524627,0.44678240434991,0.808175458262364,0.026158350706100453,0.004112360067665577,1.3144475999997667
data_pde,43,0.0011955216759815812,0.6074110236432818,1.0528408990552027,0.024540159106254567,0.005918907001614571,1.3597752999994555
data_pde_initial,17,0.0010501397773623466,0.5692985099222926,0.4591980551679929,0.027195441722869862,0.007105773780494928,1.4878422999991017
data_pde_initial,29,0.0007734062965027988,0.452046756943067,0.7043868526816368,0.02663019597530364,0.005505245178937912,1.4868479999986448
data_pde_initial,43,0.0011675187852233648,0.5040186958180535,0.5504873804748058,0.024804773926734913,0.0075267585925757885,1.6490391999996064
data_pde_initial_prior,17,0.0010502033401280642,0.3557995359102886,0.4607429951429367,0.027196350693702687,0.007212338503450155,1.5454233000000386
data_pde_initial_prior,29,0.0007736526895314455,0.35434729357560485,0.7051863310237726,0.026626917719840992,0.005575129296630621,1.5421499999993102
data_pde_initial_prior,43,0.0011677404399961233,0.32838750465048694,0.5518605845669905,0.024804550409317005,0.007591067347675562,1.5141407000010076
full_qc,17,0.0010502033401280642,0.3557995359102886,0.4607429951429367,0.027196350693702687,0.007212338503450155,1.5228400000014517
full_qc,29,0.0007736526895314455,0.35434729357560485,0.7051863310237726,0.026626917719840992,0.005575129296630621,1.528615200000786
full_qc,43,0.0011677404399961233,0.32838750465048694,0.5518605845669905,0.024804550409317005,0.007591067347675562,1.5327398999997968
